speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5096614,"Ruspolia nitidula (Scopoli, 1786)",SPECIES,ACCEPTED,Animalia,"5096614: Ruspolia nitidula (Scopoli, 1786)"
5101301,"Sialis nigripes Pictet, 1865",SPECIES,ACCEPTED,Animalia,"5101301: Sialis nigripes Pictet, 1865"
5101313,"Sialis lutaria (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5101313: Sialis lutaria (Linnaeus, 1758)"
5101327,"Sialis fuliginosa Pictet, 1836",SPECIES,ACCEPTED,Animalia,"5101327: Sialis fuliginosa Pictet, 1836"
5101394,"Cossus cossus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5101394: Cossus cossus Linnaeus, 1758"
5101745,"Malacosoma neustria (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5101745: Malacosoma neustria (Linnaeus, 1758)"
5102287,"Odonestis pruni (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5102287: Odonestis pruni (Linnaeus, 1758)"
5102471,"Stigmella tiliae (Frey, 1856) Beirne, 1945",SPECIES,ACCEPTED,Animalia,10335880: BOLD:AAJ4213
5102495,"Stigmella prunetorum (Stainton, 1855) Beirne, 1945",SPECIES,ACCEPTED,Animalia,10138432: BOLD:AAJ4212
5102628,"Choristoneura hebenstreitella (Müller, 1764)",SPECIES,ACCEPTED,Animalia,"5102628: Choristoneura hebenstreitella (Müller, 1764)"
5102931,"Agapeta zoegana (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"5102931: Agapeta zoegana (Linnaeus, 1767)"
