occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship
;Eristalis arbustorum;Eristalis arbustorum (Linnaeus, 1758);1541146;EXACT;98;SYNONYM;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Eoseristalis;Eoseristalis arbustorum;Eristalis arbustorum;(Linnaeus, 1758) 
;Musca autumnalis;Musca autumnalis De Geer, 1776;1524801;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Musca;Musca autumnalis;Musca autumnalis;De Geer, 1776
;Epistrophe nitidicollis;Epistrophe nitidicollis (Meigen, 1822);5766579;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Epistrophe;Epistrophe nitidicollis;Epistrophe nitidicollis;(Meigen, 1822) 
;Eupeodes corollae;Eupeodes corollae (Fabricius, 1794);1540742;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Eupeodes;Eupeodes corollae;Eupeodes corollae;(Fabricius, 1794) 
;Panorpa germanica;Panorpa germanica Linnaeus, 1758;5742496;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Mecoptera;Panorpidae;Panorpa;Panorpa germanica;Panorpa germanica;Linnaeus, 1758
;Dryomyza anilis;Dryomyza anilis Fallén, 1820;1568118;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Dryomyzidae;Dryomyza;Dryomyza anilis;Dryomyza anilis;Fallén, 1820
;Campsis radicans;Campsis radicans (L.) Seem.;7613490;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Campsis;Campsis radicans;Campsis radicans;(L.) Seem.
;Euonymus japonicus;Euonymus japonicus Thunb.;7102937;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Celastrales;Celastraceae;Euonymus;Euonymus japonicus;Euonymus japonicus;Thunb.
;Heracleum sphondylium;Heracleum sphondylium L.;3034830;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Heracleum;Heracleum sphondylium;Heracleum sphondylium;L.
;Epistrophe eligans;Epistrophe eligans (Harris, 1780);5766577;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Epistrophe;Epistrophe eligans;Epistrophe eligans;(Harris, 1780) 
;Melanostoma scalare;Melanostoma scalare (Fabricius, 1794);5766556;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Melanostoma;Melanostoma scalare;Melanostoma scalare;(Fabricius, 1794) 
;Ferdinandea cuprea;Ferdinandea cuprea (Scopoli, 1763);1542979;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Ferdinandea;Ferdinandea cuprea;Ferdinandea cuprea;(Scopoli, 1763) 
