occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Cicindela maritima","Cicindela maritima Dejean, 1822","7727698","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela maritima","Cicindela maritima","Dejean, 1822"
,"Cicindela sylvatica","Cicindela sylvatica Linnaeus, 1758","4480480","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela sylvatica","Cicindela sylvatica","Linnaeus, 1758"
,"Diachromus germanus","Diachromus germanus (Linnaeus, 1758)","4474987","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Diachromus","Diachromus germanus","Diachromus germanus","(Linnaeus, 1758) "
,"Agonum livens","Agonum livens (Gyllenhal, 1810)","7844002","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Platynus","Platynus livens","Agonum livens","(Gyllenhal, 1810) "
,"Dyschirius intermedius","Dyschirius intermedius Putzeys, 1846","5756959","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Dyschirius","Dyschirius intermedius","Dyschirius intermedius","Putzeys, 1846"
,"Dyschirius semistriatus","Dyschirius semistriatus (Dejean, 1825)","6097860","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Dyschirius","Dyschirius semistriatus","Dyschirius semistriatus","(Dejean, 1825) "
,"Elaphrus uliginosus","Elaphrus uliginosus Fabricius, 1792","4473320","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Elaphrus","Elaphrus uliginosus","Elaphrus uliginosus","Fabricius, 1792"
,"Harpalus autumnalis","Harpalus autumnalis (Duftschmid, 1812)","6097922","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus autumnalis","Harpalus autumnalis","(Duftschmid, 1812) "
,"Harpalus flavescens","Harpalus flavescens (Piller & Mitterpacher, 1783)","6097909","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus flavescens","Harpalus flavescens","(Piller & Mitterpacher, 1783) "
,"Harpalus froelichi","Harpalus froelichii Sturm, 1818","6097925","FUZZY","95","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus froelichii","Harpalus froelichii","Sturm, 1818"
,"Harpalus griseus","Harpalus griseus (Panzer, 1796)","6097919","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus griseus","Harpalus griseus","(Panzer, 1796) "
,"Harpalus modestus","Harpalus modestus Dejean, 1829","6097911","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus modestus","Harpalus modestus","Dejean, 1829"
,"Harpalus neglectus","Harpalus neglectus Audinet-Serville, 1821","6097927","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus neglectus","Harpalus neglectus","Audinet-Serville, 1821"
,"Harpalus puncticollis","Carabidae","3792","HIGHERRANK","97","ACCEPTED","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae",,,"Carabidae",
,"Harpalus quadripunctatus","Harpalus quadripunctatus Dejean, 1829","7432232","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus laevipes","Harpalus quadripunctatus","Dejean, 1829"
,"Harpalus serripes","Harpalus serripes (Quensel, 1806)","8378220","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus serripes","Harpalus serripes","(Quensel, 1806) "
