"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"9222",3402605,"Fellhanera ochracea Sparrius & Aptroot","Fellhanera ochracea","SPECIES","ACCEPTED",100,"EXACT","Fungi","Fellhanera ochracea",5,3402605,"Fellhanera ochracea","Fungi"
"9223",3402543,"Micarea micrococca (Körb.) Gams ex Coppins","Micarea micrococca","SPECIES","ACCEPTED",99,"EXACT","Fungi","Micarea micrococca",5,3402543,"Micarea micrococca ex","Fungi"
"9224",3402512,"Micarea nitschkeana (J.Lahm ex Rabenh.) Harm.","Micarea nitschkeana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Micarea nitschkeana",5,3402512,"Micarea nitschkeana","Fungi"
"9225",11070308,"Micarea lignaria (Ach.) Hedl.","Micarea lignaria","SPECIES","ACCEPTED",100,"EXACT","Fungi","Micarea lignaria",5,11070308,"Micarea lignaria","Fungi"
"9226",3402348,"Fellhaneropsis vezdae (Coppins & P.James) Sérus. & Coppins","Fellhaneropsis vezdae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Fellhaneropsis vezdae",5,3402348,"Fellhaneropsis vezdae","Fungi"
"9227",3402014,"Vezdaea stipitata Poelt & Döbbeler","Vezdaea stipitata","SPECIES","ACCEPTED",100,"EXACT","Fungi","Vezdaea stipitata",5,3402014,"Vezdaea stipitata","Fungi"
"9228",3400555,"Lecanora barkmaniana Aptroot & Herk","Lecanora barkmaniana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Lecanora barkmaniana",5,3400555,"Lecanora barkmaniana","Fungi"
"9229",3399538,"Lecanora thysanophora R.C.Harris","Lecanora thysanophora","SPECIES","SYNONYM",100,"EXACT","Fungi","Verseghya thysanophora",5,10816452,"Lecanora thysanophora","Fungi"
"9230",3399513,"Lecanora compallens Herk & Aptroot","Lecanora compallens","SPECIES","ACCEPTED",100,"EXACT","Fungi","Lecanora compallens",5,3399513,"Lecanora compallens","Fungi"
"9231",3396613,"Bacidia caesiovirens S.Ekman & Holien","Bacidia caesiovirens","SPECIES","ACCEPTED",100,"EXACT","Fungi","Bacidia caesiovirens",5,3396613,"Bacidia caesiovirens","Fungi"
"9232",3396104,"Cliostomum flavidulum Hafellner & Kalb","Cliostomum flavidulum","SPECIES","ACCEPTED",100,"EXACT","Fungi","Cliostomum flavidulum",5,3396104,"Cliostomum flavidulum","Fungi"
"9233",3396009,"Bacidina squamellosa S.Ekman","Bacidina squamellosa","SPECIES","SYNONYM",100,"EXACT","Fungi","Bacidia squamellosa",5,9032925,"Bacidina squamellosa","Fungi"
"9234",3395077,"Japewiella tavaresiana (H.Magn.) Printzen","Japewiella tavaresiana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Japewiella tavaresiana",5,3395077,"Japewiella tavaresiana","Fungi"
"9235",3394988,"Biatora ocelliformis (Nyl.) Arnold","Biatora ocelliformis","SPECIES","SYNONYM",100,"EXACT","Fungi","Ivanpisutia ocelliformis",5,10769015,"Biatora ocelliformis","Fungi"
"9236",3394955,"Biatora britannica Printzen, Lumbsch & Orange","Biatora britannica","SPECIES","ACCEPTED",100,"EXACT","Fungi","Biatora britannica",5,3394955,"Biatora britannica","Fungi"
"9237",3394536,"Biatora sphaeroides (Dicks.) Hornem.","Biatora sphaeroides","SPECIES","SYNONYM",99,"EXACT","Fungi","Mycobilimbia sphaeroides",5,12198939,"Biatora sphaeroides","Fungi"
